frame,text_box,left_x,left_y,right_x,right_y
295,matth,0.04114449,0,0,0
296,matth,0.304973,0.1264425,0,0
297,matth,0.7265034,0.4127398,0,0
298,matth,0.9952912,0.6272817,0,0
299,matth,1,0.8157307,0,0
300,matth,1,0.8302267,0,0
301,matth,1,0.83675,0,0
302,matth,1,0.8374748,0,0
303,matth,1,0.8374748,0,0
304,matth,1,0.8374748,0,0
305,matth,1,0.8374748,0,0
306,matth,1,0.8374748,0,0
307,matth,1,0.8374748,0,0
308,matth,1,0.8374748,0,0
309,matth,1,0.8374748,0,0
310,matth,1,0.8374748,0,0
311,matth,1,0.8374748,0,0
312,matth,1,0.8374748,0,0
313,matth,1,0.8374748,0,0
314,matth,1,0.8374748,0,0
315,matth,1,0.8374748,0,0
316,matth,1,0.8374748,0,0
317,matth,1,0.83675,0,0
318,matthe,1,0.8374748,0,0
319,matthe,1,0.83675,0,0
320,matthe,1,0.83675,0,0
321,matthe,1,0.8374748,0,0
322,matthe,1,0.83675,0,0
323,matthe,1,0.8374748,0,0
324,matthe,1,0.8374748,0,0
325,matthe,1,0.83675,0,0
326,matthe,1,0.821529,0,0
327,matthe,1,0.6946884,0,0
328,matthe,1,0.5432045,0,0
329,matthe,1,0.5432045,0,0
330,matthe,0.2920792,0.2083452,0,0
331,matthe,0,0,0,0
332,matthe,0,0,0,0
333,matthe,0,0,0,0
334,matthe,0,0,0,0
335,matthe,0,0,0,0
336,matthe,0,0,0,0
337,matthe,0,0,0,0
338,matthe,0,0,0,0
339,matthe,0,0,0,0
340,matthe,0,0,0,0
341,matthe,0,0,0,0
342,matthe,0,0,0,0
343,matthe,0,0,0,0
344,matthe,0,0,0,0
345,matthe,0,0,0,0
346,matthe,0,0,0,0
347,matthe,0,0,0,0
348,matthe,0,0,0,0
349,matthe,0,0,0,0
350,matthe,0,0,0,0
351,matthe,0,0,0,0
352,matthe,0,0,0,0
353,matthe,0,0,0,0
354,matthe,0,0,0,0
355,matthe,0,0,0,0
356,matthe,0,0,0,0
357,matthe,0,0,0,0
358,matthe,0,0,0,0
359,matthe,0,0.02641961,0,0
360,matthe,-0.226389,0.1721051,0,0
361,matthe,-0.7186069,0.3264882,0,0
362,matthe,-1,0.3793989,0,0
363,matthe,-1,0.3982438,0,0
364,matthe,-1,0.4004182,0,0
365,matthe,-1,0.3996934,0,0
366,matthe,-1,0.3924453,0,0
367,matthe,-1,0.371426,0,0
368,matthe,-1,0.3562051,0,0
369,matthe,-1,0.3177907,0,0
370,matthe,-1,0.286624,0,0
371,matthe,-1,0.2641551,0,0
372,matthe,-1,0.246035,0,0
